Connecting...
Enable Sensors (Acc, Mag, Gyro)
Timestamp,X,Y,Z,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:14:977,-1,0.1,0,2.8,-17.2,-42.7,-1,-2.9,-3.1
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:15:971,-0.9,-0.1,0.1,2.1,-17.7,-44.1,-1.4,-1.9,-3.3
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:16:965,0.1,0,1,4.2,-17.2,-44.8,1.3,-53,-2.6
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:17:959,0.1,0.1,1,3.4,-17.7,-39.7,5.3,1.3,-3.5
2017:02:03:16:53:18:952,0,-0.1,1,8.7,-28.2,46.2,-4.3,-5.3,-3.1
